Pais,TipoEnergia,Indicador,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
France,Electricity,Exports (PJ),-211,-160,-181,-237,-204,-217,-270,-266,-221,-220,-275,-264,-232,-249,-135,
France,Electricity,Total energy supply (PJ),-173,-93,-111,-203,-160,-174,-242,-231,-149,-144,-227,-208,-162,-162,54,
France,Electricity,"Electricity, CHP and heat plants (PJ)",2043,1906,2027,2045,2044,2078,2040,2068,2013,2005,2075,2038,1900,1983,1689,
France,Electricity,"Oil refineries, transformation (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
France,Electricity,Total final consumption (PJ),1558,1505,1599,1528,1598,1623,1531,1566,1594,1582,1574,1554,1481,1559,1493,
France,Electricity,Industry (PJ),463,402,423,429,431,425,422,417,424,420,421,416,381,406,388,
France,Electricity,Transport (PJ),38,36,36,38,39,39,38,39,38,38,36,36,30,34,39,
France,Electricity,Residential (PJ),550,537,581,533,576,605,543,566,587,580,577,575,581,611,559,
France,Electricity,Commercial and public services (PJ),477,492,521,496,518,519,497,509,511,509,506,492,455,475,474,
France,Electricity,Other final consumption (PJ),31,38,38,33,34,35,32,35,34,34,34,35,33,33,33,
France,Heat,Production (PJ),0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,
France,Heat,Imports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
France,Heat,Exports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
France,Heat,Total energy supply (PJ),0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,
France,Heat,"Electricity, CHP and heat plants (PJ)",167,151,153,140,146,156,138,149,167,170,165,175,173,189,181,
France,Heat,"Oil refineries, transformation (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
France,Heat,Total final consumption (PJ),152,134,119,121,128,133,117,130,145,150,147,155,150,173,167,
France,Heat,Industry (PJ),63,55,33,49,51,51,46,51,59,64,61,67,63,73,78,
France,Heat,Transport (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
France,Heat,Residential (PJ),57,50,55,45,49,53,43,49,52,52,52,53,52,61,52,
France,Heat,Commercial and public services (PJ),32,29,32,27,27,29,27,30,33,34,34,34,34,38,35,
France,Heat,Other final consumption (PJ),0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,
France,Total,Production (PJ),5707,5385,5674,5717,5670,5740,5791,5826,5506,5414,5661,5513,5017,5326,4356,
France,Total,Imports (PJ),7430,6939,6812,6899,6684,6627,6262,6352,6289,6518,6331,6419,5286,5504,6106,
France,Total,Exports (PJ),-1598,-1343,-1271,-1411,-1293,-1234,-1272,-1316,-1184,-1260,-1301,-1378,-1110,-1015,-1301,
France,Total,Total energy supply (PJ),11152,10670,11000,10793,10791,10837,10418,10576,10379,10369,10307,10161,9126,9856,8841,
France,Total,"Electricity, CHP and heat plants (PJ)",-3540,-3397,-3561,-3557,-3463,-3436,-3458,-3483,-3255,-3246,-3290,-3187,-2834,-3030,-2436,..
France,Total,"Oil refineries, transformation (PJ)",-38,-30,-31,-31,-31,-24,-25,-25,-26,-22,-22,-19,-12,-18,-23,..
France,Total,Total final consumption (PJ),6819,6538,6689,6492,6665,6771,6339,6437,6520,6481,6328,6279,5758,6289,5903,..
France,Total,Industry (PJ),1370,1130,1198,1281,1260,1270,1215,1191,1230,1165,1142,1129,1037,1191,1127,..
France,Total,Transport (PJ),1837,1823,1824,1890,1885,1872,1883,1904,1910,1926,1889,1888,1593,1788,1867,..
France,Total,Residential (PJ),1821,1804,1852,1624,1780,1866,1533,1619,1688,1654,1597,1577,1532,1626,1417,..
France,Total,Commercial and public services (PJ),894,953,1003,872,933,960,883,918,921,936,932,912,848,902,828,..
France,Total,Other final consumption (PJ),897,828,812,824,808,803,825,805,770,800,768,774,748,782,664,..
,,,,,,,,,,,,,,,,,,
Spain,"Coal, peat and oil shale",Production (PJ),176,160,138,111,103,74,68,52,31,47,37,0,0,0,0,
Spain,"Coal, peat and oil shale",Imports (PJ),525,415,329,398,542,338,399,458,339,467,399,232,124,155,256,
Spain,"Coal, peat and oil shale",Exports (PJ),-61,-38,-46,-39,-57,-21,-34,-30,-14,-10,-14,-42,-52,-18,-38,
Spain,"Coal, peat and oil shale",Total energy supply (PJ),578,432,325,522,638,464,479,559,441,536,471,211,123,130,158,
Spain,"Coal, peat and oil shale","Electricity, CHP and heat plants (PJ)",-471,-357,-255,-448,-546,-390,-431,-498,-358,-446,-369,-135,-60,-57,-82,
Spain,"Coal, peat and oil shale","Oil refineries, transformation (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,"Coal, peat and oil shale",Total final consumption (PJ),55,35,37,46,31,40,26,22,23,37,31,27,27,27,29,
Spain,"Coal, peat and oil shale",Industry (PJ),40,23,26,38,23,35,20,17,16,26,20,20,20,21,23,
Spain,"Coal, peat and oil shale",Transport (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spain,"Coal, peat and oil shale",Residential (PJ),9,9,7,5,5,4,4,4,3,3,3,3,2,2,1,
