Pais,TipoEnergia,Indicador,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 18
Italy,Oil products,Total final consumption (PJ),2526.0,2335.0,2279.0,2246.0,2073.0,1948.0,2003.0,1974.0,1931.0,1903.0,1921,1896,1600,1839,1922,
Italy,Natural gas,Production (PJ),317.0,275.0,288.0,290.0,295.0,265.0,245.0,232.0,198.0,190.0,187,165,138,109,107,
Italy,Natural gas,Total final consumption (PJ),1563.0,1534.0,1636.0,1506.0,1500.0,1494.0,1315.0,1405.0,1419.0,1448.0,1434,1410,1359,1560,1345,
Italy,Nuclear,Production (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,
Italy,Nuclear,Total final consumption (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,
Italy,Renewables and waste,Production (PJ),818.0,841.0,856.0,811.0,931.0,1032.0,1038.0,1035.0,1036.0,1048.0,1055,1079,1083,1115,1029,
Italy,Renewables and waste,Total final consumption (PJ),378.0,389.0,389.0,284.0,371.0,368.0,323.0,361.0,348.0,373.0,361,364,356,400,372,
Italy,Electricity,Production (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,
Italy,Electricity,Total final consumption (PJ),1114.0,1044.0,1078.0,1087.0,1068.0,1035.0,1013.0,1035.0,1030.0,1051.0,1055,1051,991,1052,1033,
Italy,Heat,Production (PJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,
Italy,Heat,Total final consumption (PJ),133.0,130.0,140.0,134.0,144.0,155.0,157.0,161.0,165.0,172.0,172,174,162,65,63,
Italy,Total,Production (PJ),1378.0,1326.0,1382.0,1337.0,1464.0,1539.0,1536.0,1511.0,1403.0,1424.0,1455,1441,1465,1443,1338,
Italy,Total,Total final consumption (PJ),5799.0,5476.0,5600.0,5352.0,5251.0,5067.0,4869.0,4976.0,4933.0,4977.0,4978,4929,4498,4954,4768,
